Model,ROUGE-1,ROUGE-2,ROUGE-L,Inference Time,TOPSIS Score,Rank
facebook/bart-large-cnn,0.4189197193746561,0.3779415106574055,0.39241984911946426,1.7605546951293944,0.945898567345616,1.0
t5-small,0.37932631731714184,0.3348815924763626,0.3609683645443699,1.0486156463623046,0.5602451280803499,2.0
google/pegasus-xsum,0.274686190590006,0.1611314815568158,0.20798679671848147,1.8497570514678956,0.3660254037844386,3.0
